Value of K,SSE,Size of each Cluster
1,188392.0,['1: 3929 tweets']
5,67493.0,"['1: 854 tweets', '2: 2165 tweets', '3: 67 tweets', '4: 833 tweets', '5: 10 tweets']"
10,12110.0,"['1: 334 tweets', '2: 641 tweets', '3: 31 tweets', '4: 965 tweets', '5: 0 tweets', '6: 1004 tweets', '7: 47 tweets', '8: 386 tweets', '9: 0 tweets', '10: 521 tweets']"
50,2846.0,"['1: 288 tweets', '2: 641 tweets', '3: 0 tweets', '4: 707 tweets', '5: 0 tweets', '6: 438 tweets', '7: 22 tweets', '8: 101 tweets', '9: 0 tweets', '10: 127 tweets', '11: 67 tweets', '12: 0 tweets', '13: 321 tweets', '14: 55 tweets', '15: 162 tweets', '16: 93 tweets', '17: 258 tweets', '18: 0 tweets', '19: 0 tweets', '20: 0 tweets', '21: 0 tweets', '22: 0 tweets', '23: 0 tweets', '24: 0 tweets', '25: 132 tweets', '26: 0 tweets', '27: 10 tweets', '28: 0 tweets', '29: 0 tweets', '30: 0 tweets', '31: 0 tweets', '32: 121 tweets', '33: 0 tweets', '34: 0 tweets', '35: 141 tweets', '36: 0 tweets', '37: 0 tweets', '38: 0 tweets', '39: 0 tweets', '40: 0 tweets', '41: 0 tweets', '42: 245 tweets', '43: 0 tweets', '44: 0 tweets', '45: 0 tweets', '46: 0 tweets', '47: 0 tweets', '48: 0 tweets', '49: 0 tweets', '50: 0 tweets']"
100,791.0,"['1: 169 tweets', '2: 641 tweets', '3: 0 tweets', '4: 707 tweets', '5: 0 tweets', '6: 438 tweets', '7: 22 tweets', '8: 49 tweets', '9: 0 tweets', '10: 127 tweets', '11: 51 tweets', '12: 0 tweets', '13: 321 tweets', '14: 52 tweets', '15: 162 tweets', '16: 93 tweets', '17: 178 tweets', '18: 0 tweets', '19: 0 tweets', '20: 0 tweets', '21: 0 tweets', '22: 0 tweets', '23: 0 tweets', '24: 0 tweets', '25: 132 tweets', '26: 0 tweets', '27: 10 tweets', '28: 0 tweets', '29: 0 tweets', '30: 0 tweets', '31: 0 tweets', '32: 121 tweets', '33: 0 tweets', '34: 0 tweets', '35: 141 tweets', '36: 0 tweets', '37: 0 tweets', '38: 0 tweets', '39: 0 tweets', '40: 0 tweets', '41: 0 tweets', '42: 245 tweets', '43: 0 tweets', '44: 0 tweets', '45: 0 tweets', '46: 0 tweets', '47: 0 tweets', '48: 0 tweets', '49: 0 tweets', '50: 0 tweets', '51: 0 tweets', '52: 0 tweets', '53: 30 tweets', '54: 0 tweets', '55: 0 tweets', '56: 0 tweets', '57: 135 tweets', '58: 0 tweets', '59: 0 tweets', '60: 0 tweets', '61: 0 tweets', '62: 0 tweets', '63: 0 tweets', '64: 0 tweets', '65: 0 tweets', '66: 0 tweets', '67: 0 tweets', '68: 0 tweets', '69: 0 tweets', '70: 0 tweets', '71: 0 tweets', '72: 0 tweets', '73: 0 tweets', '74: 0 tweets', '75: 0 tweets', '76: 0 tweets', '77: 0 tweets', '78: 10 tweets', '79: 0 tweets', '80: 0 tweets', '81: 0 tweets', '82: 0 tweets', '83: 0 tweets', '84: 0 tweets', '85: 80 tweets', '86: 0 tweets', '87: 0 tweets', '88: 0 tweets', '89: 0 tweets', '90: 0 tweets', '91: 0 tweets', '92: 0 tweets', '93: 0 tweets', '94: 0 tweets', '95: 15 tweets', '96: 0 tweets', '97: 0 tweets', '98: 0 tweets', '99: 0 tweets', '100: 0 tweets']"
